,var,rel.inf,,,
BAL_1STMTG_COLLECTIONS,BAL_1STMTG_COLLECTIONS,0,,,ZAGG_RHMFURN
BAL_1STMTG_FORECLOSURE,BAL_1STMTG_FORECLOSURE,0,,,ZAGG_RMUSIC
BAL_1STMTG_SEVEREDEROG,BAL_1STMTG_SEVEREDEROG,0,,,ZAGG_RSTATION
BAL_AGENCY1STMORG_30TO59DPD,BAL_AGENCY1STMORG_30TO59DPD,0,,,ZAGG_SPENDPAT_00
BAL_AGENCY1STMORG_60TO89DPD,BAL_AGENCY1STMORG_60TO89DPD,0,,,ZAGG_SPENDPAT_15
BAL_AGENCY1STMORG_90TO119DP,BAL_AGENCY1STMORG_90TO119DP,0,,,ZAGG_SPENDPAT_16
BAL_AGENCY1STMORG_BANKRUPTC,BAL_AGENCY1STMORG_BANKRUPTC,0,,,ZAGG_SSON
BAL_AGENCY1STMORG_COLLECTIO,BAL_AGENCY1STMORG_COLLECTIO,0,,,ZAGG_TRAD
BAL_AGENCY1STMORG_FORECLOSU,BAL_AGENCY1STMORG_FORECLOSU,0,,,ZAGG_TUOC_B
BAL_AGENCY1STMORG_SEVEREDER,BAL_AGENCY1STMORG_SEVEREDER,0,,,ZAGG_TUOC_C
BAL_AGENCYFIRSTMTG_60DPD,BAL_AGENCYFIRSTMTG_60DPD,0,,,ZAGG_TUOC_H
BAL_AGENCYFIRSTMTG_NEW,BAL_AGENCYFIRSTMTG_NEW,0,,,ZAGG_TUOC_N
BAL_AUTOBANK,BAL_AUTOBANK,0,,,ZAGG_TUOC_S
BAL_AUTOBANK_60DPD,BAL_AUTOBANK_60DPD,0,,,ZAGG_VOTE
BAL_AUTOBANK_NEW,BAL_AUTOBANK_NEW,0,,,ZAGG_Z4HMVALU
BAL_AUTOFINANCE,BAL_AUTOFINANCE,0,,,ZAGG_ZINCDEC_5
BAL_AUTOFINANCE_60DPD,BAL_AUTOFINANCE_60DPD,0,,,APT_P
BAL_AUTOFINANCE_NEW,BAL_AUTOFINANCE_NEW,0,,,APT_T
BAL_BANKCARDCREDIT,BAL_BANKCARDCREDIT,0,,,C210MYS_3
BAL_BANKCARDCREDIT_60DPD,BAL_BANKCARDCREDIT_60DPD,0,,,C210MYS_6
BAL_BANKCARD_30TO59DPD,BAL_BANKCARD_30TO59DPD,0,,,C210MYS_7
BAL_BANKCARD_60TO89DPD,BAL_BANKCARD_60TO89DPD,0,,,FAMP_O
BAL_BANKCARD_90TO119DPD,BAL_BANKCARD_90TO119DPD,0,,,FMLY_PRSNC
BAL_BANKCARD_BANKRUPTCY,BAL_BANKCARD_BANKRUPTCY,0,,,HHCOMP_A
BAL_BANKCARD_COLLECTIONS,BAL_BANKCARD_COLLECTIONS,0,,,HHCOMP_J
BAL_BANKCARD_SEVEREDEROG,BAL_BANKCARD_SEVEREDEROG,0,,,HOMSTAT_P
